zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,preferred_bucket,candidate_fc_zip3_set,candidate_fc_name_set,candidate_count,cluster_id
181,0.00071397,Primary,PA,40.58665963,-75.48004667,0.0007139706290081242,303,675,GA-303,601-1000,303,GA-303,1,GA-303
182,0.001011374,Primary,PA,40.91117327,-75.91078119,0.0010113748910212791,303,673,GA-303,601-1000,303,GA-303,1,GA-303
183,0.001100496,Primary,PA,41.04724939,-75.24029085,0.0011004969695378303,303,705,GA-303,601-1000,303,GA-303,1,GA-303
184,0.001278738,Primary,PA,41.53036893,-75.46419322,0.0012787391265691706,303,720,GA-303,601-1000,303,GA-303,1,GA-303
185,0.000416566,Primary,PA,41.39919606,-75.68046897,0.00041656636699496935,303,706,GA-303,601-1000,303,GA-303,1,GA-303
186,0.000327445,Secondary,PA,41.30784775,-75.94537416,0.00032744528847929914,303,691,GA-303,601-1000,303,GA-303,1,GA-303
187,0.000773051,Primary,PA,41.24694724,-75.88343681,0.000773051681058531,303,691,GA-303,601-1000,303,GA-303,1,GA-303
188,0.000208283,Secondary,PA,41.81512832,-76.12135487,0.00020828318349748467,303,711,GA-303,601-1000,303,GA-303,1,GA-303
189,0.001129535,Primary,PA,40.29460743,-75.13967883,0.0011295359951212119,303,676,GA-303,601-1000,303,GA-303,1,GA-303
190,0.003776132,Primary,PA,40.04971981,-75.19010931,0.003776135326775223,303,663,GA-303,601-1000,303,GA-303,1,GA-303
191,0.005708758,Primary,PA,39.98244557,-75.15100769,0.00570876302942023,303,662,GA-303,601-1000,303,GA-303,1,GA-303
193,0.001159576,Primary,PA,39.97870243,-75.61172708,0.0011595770215873562,303,643,GA-303,601-1000,303,GA-303,1,GA-303
194,0.001100496,Primary,PA,40.14909193,-75.36631969,0.0011004969695378303,303,660,GA-303,601-1000,303,GA-303,1,GA-303
195,0.000981334,Primary,PA,40.37234731,-75.82671183,0.0009813348645560157,303,652,GA-303,601-1000,303,GA-303,1,GA-303
196,0.000921252,Primary,PA,40.32961781,-75.9111668,0.0009212528116237271,303,646,GA-303,601-1000,303,GA-303,1,GA-303
197,0.001605181,Primary,DE,39.67063322,-75.65360909,0.001605182414165707,303,628,GA-303,601-1000,303,GA-303,1,GA-303
198,0.000921252,Primary,DE,39.74372985,-75.56226797,0.0009212528116237271,303,635,GA-303,601-1000,303,GA-303,1,GA-303
199,0.001576142,Primary,DE,38.88058095,-75.42778852,0.0015761433885823255,303,607,GA-303,601-1000,303,GA-303,1,GA-303
200,0.002794798,Primary,DC,38.91072436,-77.03283497,0.0027948004622192074,303,537,GA-303,301-600,303,GA-303,1,GA-303
201,0.003626929,Primary,VA,38.90325843,-77.40995754,0.0036269321953272646,303,521,GA-303,301-600,303,GA-303,1,GA-303
206,0.001218656,Primary,MD,38.52837802,-76.80524593,0.001218657073636882,303,531,GA-303,301-600,303,GA-303,1,GA-303
207,0.003240404,Primary,MD,38.96671509,-76.8871367,0.0032404068547984394,303,546,GA-303,301-600,303,GA-303,1,GA-303
208,0.001843505,Primary,MD,39.07738908,-77.13893504,0.001843506624129336,303,540,GA-303,301-600,303,GA-303,1,GA-303
209,0.000475646,Primary,MD,39.0233881,-77.02748367,0.0004756464190444952,303,543,GA-303,301-600,303,GA-303,1,GA-303
210,0.002289111,Primary,MD,39.29973353,-76.6165766,0.002289113016708568,303,572,GA-303,301-600,303,GA-303,1,GA-303
211,0.001991707,Primary,MD,39.31982141,-76.66981463,0.001991708754695413,303,570,GA-303,301-600,303,GA-303,1,GA-303
212,0.003924333,Primary,MD,39.30355192,-76.62872847,0.0039243364573404195,303,571,GA-303,301-600,303,GA-303,1,GA-303
214,0.000327445,Primary,MD,38.9896406,-76.54905789,0.00032744528847929914,303,561,GA-303,301-600,303,GA-303,1,GA-303
215,0.000416566,Secondary,MD,39.57773953,-78.96976628,0.00041656636699496935,303,496,GA-303,301-600,303,GA-303,1,GA-303
216,0.000564768,Primary,MD,38.86673676,-76.05069081,0.0005647684975610464,303,578,GA-303,301-600,303,GA-303,1,GA-303
217,0.001784425,Primary,MD,39.44913587,-77.382995,0.0017844265720798102,303,547,GA-303,301-600,303,GA-303,1,GA-303
218,0.000386525,Primary,MD,38.36056166,-75.58505389,0.000386525340528825,303,581,GA-303,301-600,303,GA-303,1,GA-303
219,0.000505687,Primary,MD,39.56120375,-75.99228125,0.0005056874455106396,303,609,GA-303,601-1000,303,GA-303,1,GA-303
220,0.00074301,Primary,VA,38.86234783,-77.22257693,0.0007430106545923867,303,527,GA-303,301-600,303,GA-303,1,GA-303
221,0.001426939,Primary,VA,38.83510377,-77.22143642,0.0014269402571343666,303,526,GA-303,301-600,303,GA-303,1,GA-303
222,0.000534727,Primary,VA,38.88123443,-77.10090017,0.000534727471094902,303,533,GA-303,301-600,303,GA-303,1,GA-303
223,0.000951293,Primary,VA,38.83112862,-77.1054273,0.0009512938380898713,303,531,GA-303,301-600,303,GA-303,1,GA-303
224,0.000803091,Primary,VA,38.23108786,-77.30653931,0.0008030917075237944,303,497,GA-303,301-600,303,GA-303,1,GA-303
225,0.000475646,Primary,VA,38.15327143,-77.24898469,0.0004756464190444952,303,497,GA-303,301-600,303,GA-303,1,GA-303
226,0.000594808,Primary,VA,39.07277338,-78.19579286,0.0005948085240263097,303,498,GA-303,301-600,303,GA-303,1,GA-303
227,0.000238324,Primary,VA,38.45003061,-78.03821939,0.000238324209963629,303,475,GA-303,301-600,303,GA-303,1,GA-303
228,0.000327445,Secondary,VA,38.50563333,-78.81185,0.00032744528847929914,303,447,GA-303,301-600,303,GA-303,1,GA-303
229,0.000773051,Secondary,VA,38.04090567,-78.55812933,0.000773051681058531,303,435,GA-303,301-600,303,GA-303,1,GA-303
230,0.001337818,Secondary,VA,37.62949356,-77.41682772,0.0013378191786186963,303,469,GA-303,301-600,303,GA-303,1,GA-303
231,0.00071397,Secondary,VA,37.4998441,-77.22245983,0.0007139706290081242,303,474,GA-303,301-600,303,GA-303,1,GA-303
232,0.001694303,Secondary,VA,37.54388316,-77.47156195,0.0016943044926822583,303,464,GA-303,301-600,303,GA-303,1,GA-303
233,0.000564768,Secondary,VA,37.00132646,-76.13837831,0.0005647684975610464,303,512,GA-303,301-600,303,GA-303,1,GA-303
234,0.002289111,Secondary,VA,36.95177949,-76.19095487,0.002289113016708568,303,508,GA-303,301-600,303,GA-303,1,GA-303
235,0.000624849,Secondary,VA,36.86433079,-76.28011677,0.000624849550492454,303,501,GA-303,301-600,303,GA-303,1,GA-303
236,0.001932626,Secondary,VA,37.08132778,-76.46009571,0.0019326277026450061,303,498,GA-303,301-600,303,GA-303,1,GA-303
237,0.000386525,Secondary,VA,36.84195069,-76.31723889,0.000386525340528825,303,499,GA-303,301-600,303,GA-303,1,GA-303
238,0.001724343,Secondary,VA,37.14932953,-77.38776316,0.0017243445191475215,303,454,GA-303,301-600,303,GA-303,1,GA-303
