ZIP3,GA-303,NY-134,TX-799,UT-841,AZ-852,CA-900,CA-945,CO-802,FL-331,IL-606,MA-021,MI-481,NC-275,NJ-070,TX-750,TX-770,WA-980
968,4501,4866,3234,2994,2919,2560,2417,3343,4861,4253,5089,4466,4794,4962,3790,3897,2683
970,2167,2315,1282,631,1005,820,527,978,2700,1753,2536,1947,2371,2438,1619,1827,146
971,2196,2343,1305,658,1025,832,532,1006,2728,1782,2563,1976,2400,2466,1647,1854,150
972,2173,2319,1288,637,1011,825,531,983,2705,1758,2539,1951,2376,2442,1625,1833,143
973,2188,2351,1274,637,988,787,486,991,2714,1783,2572,1980,2398,2472,1627,1832,193
974,2189,2378,1236,621,941,724,415,983,2705,1801,2600,2000,2408,2494,1610,1810,266
975,2164,2389,1165,583,860,628,317,953,2667,1799,2611,2003,2396,2499,1563,1757,360
976,2092,2322,1104,512,805,597,310,881,2596,1730,2545,1935,2324,2431,1493,1689,364
977,2078,2265,1158,519,879,703,430,876,2599,1687,2487,1886,2295,2381,1510,1714,252
978,1973,2126,1140,463,893,778,547,791,2510,1559,2347,1754,2176,2246,1439,1653,233
979,1890,2084,1022,350,776,681,487,693,2416,1500,2306,1701,2106,2197,1335,1545,350
980,2176,2269,1371,696,1113,955,671,1015,2725,1730,2487,1916,2359,2400,1666,1882,0
981,2181,2273,1376,701,1117,958,673,1020,2730,1735,2491,1920,2364,2404,1672,1888,5
982,2189,2266,1407,728,1154,1000,717,1039,2743,1735,2483,1917,2367,2399,1692,1910,46
983,2191,2287,1379,706,1117,953,665,1028,2740,1748,2505,1934,2377,2418,1679,1894,19
984,2181,2283,1362,690,1100,936,649,1015,2728,1741,2502,1928,2369,2413,1665,1880,25
985,2205,2314,1369,703,1102,927,633,1033,2749,1769,2532,1956,2395,2442,1682,1895,55
986,2172,2312,1297,643,1022,840,548,986,2707,1754,2532,1946,2373,2436,1629,1838,126
988,2069,2158,1305,620,1066,945,689,921,2623,1619,2376,1804,2249,2288,1574,1793,112
989,2082,2200,1268,591,1015,875,611,913,2627,1649,2419,1838,2273,2326,1563,1778,105
990,1959,2045,1240,551,1022,941,718,826,2517,1506,2264,1690,2136,2175,1479,1701,225
991,1979,2067,1250,561,1028,938,709,843,2536,1527,2286,1712,2158,2197,1496,1717,204
992,1959,2045,1239,550,1022,940,718,826,2517,1506,2264,1690,2136,2175,1479,1701,225
993,2007,2134,1204,523,961,845,603,839,2551,1577,2354,1769,2200,2258,1490,1706,177
994,1918,2041,1156,467,933,854,643,761,2467,1484,2261,1675,2108,2164,1414,1634,258
995,3447,3244,2843,2160,2580,2363,2033,2435,4043,2898,3422,3018,3528,3413,3082,3309,1473
996,3524,3326,2902,2221,2633,2408,2076,2502,4119,2977,3504,3099,3607,3495,3150,3377,1530
997,3485,3202,2999,2310,2758,2572,2249,2552,4088,2917,3366,3016,3531,3377,3185,3416,1645
998,2870,2723,2270,1583,2024,1843,1526,1847,3462,2333,2915,2467,2969,2887,2493,2720,911
999,2741,2642,2092,1407,1840,1655,1338,1683,3326,2218,2841,2363,2858,2800,2333,2559,727
