zip3,market_type,fc,pmf_alloc,distance_bucket
366,Tertiary,GA-303,0.00042808177713996005,301-600
367,Secondary,GA-303,0.00018745486514766,151-300
368,Secondary,GA-303,0.0002406269119923,51-150
369,Secondary,GA-303,2.700002378702096e-05,151-300
370,Primary,GA-303,0.00395998548874713,151-300
371,Primary,GA-303,0.00163211903789679,151-300
372,Primary,GA-303,0.0019268197975281602,151-300
373,Secondary,GA-303,0.00133832007905994,51-150
374,Primary,GA-303,0.00045511870095954,51-150
376,Secondary,GA-303,0.00099044727258402,151-300
377,Secondary,GA-303,0.0006957465129526501,151-300
378,Secondary,GA-303,0.0008291275304613301,151-300
379,Secondary,GA-303,0.00155191006723275,51-150
380,Secondary,GA-303,0.0008832013781004001,301-600
381,Secondary,GA-303,0.00139149212590449,301-600
382,Secondary,GA-303,0.00034787280647592,301-600
383,Secondary,GA-303,0.0005082916478049,151-300
384,Primary,GA-303,0.00016041794132817,151-300
385,Primary,GA-303,0.0002406269119923,151-300
386,Secondary,GA-303,0.0005885006184690299,301-600
387,Secondary,GA-303,0.00013338101750859,301-600
388,Secondary,GA-303,0.00042808177713996005,151-300
389,Secondary,GA-303,5.31900468604313e-05,301-600
390,Tertiary,GA-303,0.00016041794132817,301-600
391,Tertiary,GA-303,0.00026766383581179,301-600
392,Tertiary,GA-303,0.00010724589448361999,301-600
393,Secondary,GA-303,0.00026766383581179,151-300
394,Tertiary,GA-303,0.0005885006184690299,301-600
395,Tertiary,GA-303,0.00099044727258402,301-600
396,Tertiary,GA-303,0.00016041794132817,301-600
397,Secondary,GA-303,0.00010724589448361999,151-300
398,Secondary,GA-303,0.00013338101750859,151-300
400,Primary,GA-303,0.00077595548361678,301-600
401,Secondary,GA-303,0.00077595548361678,151-300
402,Primary,GA-303,0.0024621483691526403,301-600
403,Primary,GA-303,0.0005623645954431599,151-300
404,Secondary,GA-303,0.00021449178896723999,151-300
405,Primary,GA-303,0.00101658239560908,151-300
406,Primary,GA-303,0.00010724589448361999,301-600
407,Secondary,GA-303,0.00026766383581179,151-300
410,Primary,GA-303,0.00165915596171637,301-600
411,Primary,GA-303,8.019007064745225e-05,301-600
413,Secondary,GA-303,5.31900468604313e-05,151-300
414,Secondary,GA-303,0.00010724589448361999,151-300
415,Secondary,GA-303,0.00013338101750859,151-300
416,Secondary,GA-303,5.31900468604313e-05,151-300
417,Secondary,GA-303,5.31900468604313e-05,151-300
418,Secondary,GA-303,0.00010724589448361999,151-300
420,Secondary,GA-303,0.00045511870095954,301-600
421,Primary,GA-303,0.00072278253677133,151-300
422,Primary,GA-303,0.00037490973029541,151-300
423,Primary,GA-303,0.00045511870095954,151-300
424,Secondary,GA-303,0.00029470075963128,301-600
425,Secondary,GA-303,0.00026766383581179,151-300
426,Secondary,GA-303,0.00010724589448361999,151-300
427,Secondary,GA-303,0.0005353276716236699,151-300
430,Secondary,GA-303,0.00219448453334085,301-600
431,Primary,GA-303,0.0014185290497240699,301-600
432,Primary,GA-303,0.0020602017150376504,301-600
433,Secondary,GA-303,0.0005353276716236699,301-600
434,Primary,GA-303,0.00040104575332128,301-600
435,Primary,GA-303,0.00061553664228771,301-600
436,Primary,GA-303,0.0011238282900927,301-600
437,Secondary,GA-303,0.0002406269119923,301-600
438,Secondary,GA-303,0.00013338101750859,301-600
439,Secondary,GA-303,0.00029470075963128,301-600
440,Secondary,GA-303,0.0027829842518090698,301-600
441,Primary,GA-303,0.0037463946005735996,301-600
442,Secondary,GA-303,0.0014185290497240699,301-600
443,Secondary,GA-303,0.00080299240743627,301-600
444,Secondary,GA-303,0.0008561644542808201,301-600
445,Secondary,GA-303,0.0005082916478049,301-600
446,Secondary,GA-303,0.0009634103487644401,301-600
447,Secondary,GA-303,0.0005623645954431599,301-600
448,Primary,GA-303,0.0005353276716236699,301-600
449,Secondary,GA-303,0.0002406269119923,301-600
450,Primary,GA-303,0.0020602017150376504,301-600
451,Primary,GA-303,0.00045511870095954,301-600
452,Primary,GA-303,0.0020070296681931003,301-600
453,Primary,GA-303,0.00120403726075674,301-600
454,Primary,GA-303,0.0008832013781004001,301-600
455,Primary,GA-303,0.00016041794132817,301-600
456,Primary,GA-303,0.0008561644542808201,301-600
457,Secondary,GA-303,0.00010724589448361999,301-600
458,Secondary,GA-303,0.00080299240743627,301-600
460,Primary,GA-303,0.00165915596171637,301-600
461,Primary,GA-303,0.0018195748030453499,301-600
462,Primary,GA-303,0.0024882834921777,301-600
463,Primary,GA-303,0.0023819393984886,301-600
464,Primary,GA-303,0.00018745486514766,301-600
465,Primary,GA-303,0.00125811110839581,301-600
466,Primary,GA-303,0.00032083588265634,301-600
467,Secondary,GA-303,0.0008561644542808201,301-600
