zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,distance_bucket
290,0.000951293,Secondary,SC,33.98978865,-80.8998922,0.0009512938380898713,275,181,NC-275,151-300
291,0.000981334,Secondary,SC,33.90319931,-80.79367674,0.0009813348645560157,275,181,NC-275,151-300
292,0.000505687,Secondary,SC,34.0198117,-81.0258532,0.0005056874455106396,275,184,NC-275,151-300
293,0.001129535,Secondary,SC,34.89395375,-81.929428,0.0011295359951212119,303,156,GA-303,151-300
294,0.003330526,Secondary,SC,32.88681303,-80.02509611,0.003330528934195991,275,218,NC-275,151-300
295,0.0013979,Secondary,SC,33.99822153,-79.37769234,0.0013979012315509852,275,133,NC-275,51-150
296,0.003151283,Secondary,SC,34.73092044,-82.462196,0.003151285776282769,303,124,GA-303,51-150
297,0.000773051,Secondary,SC,34.90712222,-81.01128778,0.000773051681058531,275,148,NC-275,51-150
298,0.000148201,Secondary,SC,33.53246422,-81.7971931,0.00014820113056519604,303,148,GA-303,51-150
299,0.00074301,Secondary,SC,32.44946269,-80.81498109,0.0007430106545923867,303,225,GA-303,151-300
300,0.007433102,Primary,GA,33.87882718,-84.24722308,0.007433108548568631,303,7,GA-303,<50
301,0.00297304,Primary,GA,33.97785107,-84.61278737,0.002973042619250548,303,19,GA-303,<50
302,0.002675636,Primary,GA,33.49760013,-84.39142252,0.0026756383572373926,303,23,GA-303,<50
